#{"t_start": 1698676572.0360982, "env_id": "LunarLander-v2"}
r,l,t
-161.903695,75,4.735763
-183.723317,92,4.939635
-116.000846,67,5.090387
-98.817407,63,5.233147
-135.554387,103,5.473991
-138.697781,103,5.721162
-368.077955,100,5.959834
41.422239,87,6.169051
-105.023791,126,6.449728
-201.121241,65,6.597843
-176.169652,116,6.853188
-127.047927,75,7.01411
-118.847152,86,7.208994
-80.374505,105,7.439367
-132.931928,104,7.669963
-68.96619,131,7.960917
-87.309141,87,8.156764
-124.752568,70,8.307995
-86.081981,115,8.565673
-207.975428,116,8.825451
-153.49588,101,9.049492
-78.628282,73,9.211874
-66.303083,94,9.425745
-114.85221,85,9.613887
-113.318715,81,9.794025
-110.59707,65,9.946065
-74.060492,76,10.115894
-71.510062,98,10.330654
-52.414315,98,10.555948
-74.999189,95,10.764868
-74.146823,139,11.081005
-124.357732,84,11.26895
-113.254409,100,11.49402
-101.100755,73,11.656714
-34.097679,156,12.01076
-75.905392,74,12.183189
-15.074625,142,12.504956
-60.022822,68,12.659946
-124.64285,108,12.905552
-2.759761,169,13.296671
-35.458241,94,13.511702
-151.588434,95,13.731164
-67.137609,116,13.996764
-75.065071,64,14.141958
-36.601451,160,14.512806
-48.645022,92,14.722192
-50.825499,138,15.036462
-16.682931,81,15.227157
-22.440351,102,15.459504
-53.115914,87,15.666548
-108.937147,150,16.007894
-59.349353,55,16.137716
-29.293811,150,16.487083
-26.546126,148,16.831947
-39.208104,94,17.0456
-27.135741,164,17.426573
-49.017552,74,17.606064
-49.624947,158,17.969811
-27.190779,115,18.237478
-375.076972,184,18.66599
-121.415792,137,18.980671
15.111025,137,19.295936
-215.195073,167,19.687498
-68.844713,135,20.005805
-42.618404,135,20.323398
11.130548,122,20.604463
-354.791756,391,21.528737
-70.9125,89,21.734699
25.359443,152,22.094059
-74.467567,1000,24.498696
-81.670506,249,25.094612
-25.68366,1000,27.5168
-143.450288,730,29.316736
-10.481854,1000,31.774112
-9.603888,1000,34.261949
28.935014,1000,36.739385
-18.596594,1000,39.224389
253.882128,323,40.025959
183.598041,541,41.363508
186.814621,630,42.925822
-168.476306,479,44.117563
147.497309,431,45.191953
-13.630219,1000,47.675657
-48.281487,1000,50.164144
118.672084,1000,52.675011
-12.771389,1000,55.153171
-6.16853,91,55.379787
-16.165697,177,55.816652
156.855398,1000,58.307361
246.214453,512,59.583269
226.413891,627,61.141171
4.614054,92,61.368216
13.879294,109,61.636839
259.9798,531,62.960625
-53.920472,80,63.158293
56.836865,115,63.435574
165.014328,1000,65.923833
36.910388,202,66.425621
13.629906,84,66.632625
-27.867563,84,66.840468
151.971157,1000,69.323717
-20.508837,84,69.532474
148.463514,1000,72.013476
-37.481795,88,72.229786
10.986978,159,72.623565
-39.313001,110,72.891149
21.70234,95,73.126791
157.872832,1000,75.611662
-40.804985,110,75.881108
-13.130333,92,76.108773
259.786086,216,76.64283
143.03379,1000,79.135239
238.000724,773,81.068595
-61.979427,83,81.268285
43.098509,139,81.614822
260.396335,435,82.706033
31.739552,92,82.935867
-23.098592,93,83.165776
276.97276,296,83.902239
-45.577439,66,84.069125
-73.8581,75,84.249067
131.980067,1000,86.74434
6.838478,129,87.071167
4.319548,99,87.309999
149.55811,1000,89.795335
1.422722,106,90.060706
3.320456,111,90.336997
247.125127,879,92.509752
-54.075676,103,92.764162
-13.766419,94,92.999369
-61.532815,74,93.177966
139.687067,1000,95.654577
137.253488,1000,98.190531
1.564746,152,98.571493
139.643703,1000,101.10283
29.306745,86,101.323158
-46.717908,90,101.545348
274.100767,336,102.393843
-39.160462,108,102.665827
-60.365703,69,102.83694
-60.982856,86,103.056868
-71.302128,77,103.247519
-49.970367,106,103.518076
-54.551665,76,103.709825
-43.321288,102,103.962003
-72.074918,80,104.162424
-68.096603,87,104.38237
-23.186914,101,104.632759
-44.976669,91,104.865344
-58.588271,100,105.116477
-38.771439,119,105.417473
-4.010402,82,105.619505
-39.777076,93,105.848986
-7.208983,71,106.029587
-39.464471,95,106.270123
-27.447676,75,106.458947
-17.034298,99,106.700008
-18.875686,91,106.928416
35.557086,129,107.245605
-45.311834,107,107.511241
5.897109,67,107.679751
-13.377881,72,107.855868
5.687704,112,108.134687
-51.854831,73,108.313329
13.889284,87,108.530083
-20.505958,73,108.708116
-45.657869,96,108.945076
21.701713,71,109.123142
207.726385,338,109.962498
-1.414006,77,110.159028
-22.870146,1000,112.643568
-84.731277,79,112.835576
8.295124,90,113.066387
-6.903279,78,113.255674
-16.338133,97,113.505781
-11.316928,98,113.74821
33.179449,90,113.97858
-7.914464,74,114.161448
9.030591,109,114.433509
-19.730358,94,114.674084
-33.114974,97,114.916751
-8.939055,80,115.117167
-29.61533,85,115.328204
10.756709,96,115.569737
101.453353,1000,118.09962
32.152188,76,118.290204
19.550128,123,118.599748
152.650467,1000,121.124623
23.837057,104,121.389854
-6.547929,89,121.611535
20.329608,113,121.901849
-11.86127,103,122.155017
15.846446,100,122.407698
9.231361,75,122.59826
21.259715,115,122.886482
-4.100056,121,123.186321
45.753134,94,123.423787
7.87329,89,123.645508
17.931464,97,123.887246
185.873944,723,125.708068
10.931522,112,125.991006
11.979189,102,126.243354
4.475387,90,126.47368
-13.154648,1000,128.985772
148.54303,1000,131.513312
6.449499,92,131.74366
122.878894,1000,134.266081
164.775075,1000,136.789885
26.430144,105,137.051101
69.350674,133,137.382297
241.845786,895,139.644864
-140.875905,467,140.820595
187.606724,638,142.408852
261.525102,461,143.566757
139.599919,1000,146.076614
191.358132,1000,148.596979
189.80759,440,149.704957
139.398379,1000,152.235533
36.735084,166,152.645386
51.697836,115,152.935794
198.798945,307,153.713351
19.244334,130,154.033385
121.611343,1000,156.569893
11.266492,131,156.899792
28.303614,129,157.220989
238.729686,659,158.919521
228.176637,391,159.924027
-44.94388,96,160.163353
24.522726,102,160.414664
110.772107,1000,162.980881
37.052921,129,163.299558
23.535202,127,163.616968
144.229484,1000,166.176291
57.057442,101,166.422684
47.783437,1000,168.983853
-157.299128,410,170.02205
87.475792,1000,172.577586
166.629736,1000,175.13665
269.835248,287,175.876221
276.862038,633,177.510818
259.284567,545,178.899407
39.003407,275,179.604564
-78.499373,1000,182.13102
147.120018,1000,184.669199
167.891743,1000,187.206693
249.260041,238,187.792823
-360.985431,165,188.204655
123.510166,1000,190.691348
172.539926,1000,193.180283
-7.255974,105,193.439749
141.629258,1000,195.929162
37.179123,147,196.293651
268.094313,496,197.531026
161.614145,1000,200.0187
110.348615,1000,202.494927
271.852133,171,202.909411
179.083173,1000,205.386647
259.362804,785,207.339258
157.154983,1000,209.836579
8.324727,111,210.10934
19.857803,99,210.361256
54.815464,138,210.711053
142.14622,1000,213.228951
47.528158,165,213.638439
-391.648737,238,214.22607
51.504027,152,214.605803
159.689455,1000,217.123169
136.905819,1000,219.639436
169.194816,1000,222.148451
253.902372,267,222.813044
33.411228,89,223.031423
136.292103,1000,225.520838
27.159147,89,225.747454
10.540235,105,226.003561
215.232884,525,227.315098
274.886236,590,228.790695
47.609353,167,229.200659
251.41759,879,231.403656
185.421366,1000,233.900075
127.542632,1000,236.395906
264.373065,577,237.832818
20.404244,121,238.13707
122.394056,1000,240.617667
153.415014,1000,243.11134
250.238167,496,244.345247
260.577817,283,245.042777
258.483998,590,246.517061
163.892324,1000,249.007733
-22.768121,166,249.416209
66.350015,176,249.849349
232.231687,927,252.156714
201.950961,788,253.444418
253.679689,511,253.667797
142.993145,1000,254.107535
226.808553,414,254.282033
79.529586,1000,254.708286
153.334651,1000,255.150024
124.690257,1000,255.587081
236.877492,540,255.821965
182.815972,974,256.249377
209.344354,644,256.522978
